nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
1362,21550,listing,,Comfort Suites Salem - Airport,4,0,1248372246,1444067152,0,0,0,0,0,0
1375,21683,listing,,Salem Cinema,4,1,1248454857,1445037736,0,0,0,0,0,0
1376,2635,listing,,Travelers Inn Motel,4,1,1248456573,1248456573,0,0,0,0,0,0
1423,8028,listing,,BEST WESTERN PLUS Mill Creek Inn,4,1,1249602994,1295735162,0,0,0,0,0,0
1425,20800,listing,,"Box Office Tickets, Inc.",4,0,1249665201,1433195329,0,0,0,0,0,0
1427,3833,listing,,Spirit Mountain Lodge,4,1,1249667756,1258160197,0,0,0,0,0,0
1432,3656,listing,,Mountain View Sports Bar at Spirit Mountain Casino,7,1,1249678483,1256760834,0,0,0,0,0,0
1433,21664,listing,,Spirit Mountain Casino's PlayWorld/Arcade,7,0,1249678655,1445031909,0,0,0,0,0,0
1458,12291,listing,,Orchard Heights Winery,4,1,1250187629,1342824380,0,0,0,0,0,0
1479,10672,listing,,Johan Vineyards,6,1,1250614508,1327267969,0,0,0,0,0,0
1483,4490,listing,,Willamette Art Center,4,1,1250620591,1264719149,0,0,0,0,0,0
1485,21672,listing,,Enchanted Forest,4,0,1250695975,1445032616,0,0,0,0,0,0
1486,3829,listing,,Oregon Garden Resort,4,1,1250697492,1258159661,0,0,0,0,0,0
1516,6420,listing,,Cooke Stationery Company,6,1,1251301070,1277168336,0,0,0,0,0,0
1520,16512,listing,,Marion County Fair,6,0,1251307092,1390505104,0,0,0,0,0,0
1521,17021,listing,,Casa Baez Mexican Restaurant,6,0,1251307353,1394064966,0,0,0,0,0,0
1561,16626,listing,,Polk County Fair,6,1,1251833799,1391122930,0,0,0,0,0,0
1564,13591,listing,,Willamette Valley Vineyards,6,1,1251847445,1361557092,0,0,0,0,0,0
1567,8356,listing,,Rosie's Mountain Coffee House,6,1,1252018753,1299815926,0,0,0,0,0,0
1574,2973,listing,,West Salem Business Association,6,1,1252094169,1252094169,0,0,0,0,0,0
1575,7416,listing,,Forest History Center/Oregon Department of Forestry,6,1,1252094532,1287724385,0,0,0,0,0,0
1588,8928,listing,,McGrath's Fish House - Lancaster,6,1,1253211747,1306384953,0,0,0,0,0,0
1615,11462,listing,,"Expedia CruiseShipCenters, OVC",4,1,1253917926,1333057591,0,0,0,0,0,0
